PersonId,ProjectId,Language,Task Description
4,9,German,Beschreiben des Prozessablaufs in Koordination mit dem Bio Chemiker unter Anwendung des erstellten Tools
4,10,English,Entwicklung und Test der Softwarekomponente welche die aktuelle  Speichergrösse der HW-Queues der Controller überwacht
4,10,German,Entwicklung und Test der Softwarekomponente welche die aktuelle  Speichergrösse der HW-Queues der Controller überwacht
4,10,English,Senden der Kommandos in diese Queues koordiniert
4,10,German,Senden der Kommandos in diese Queues koordiniert
4,10,English,Realisierung eines Simulationsmodus um das Verhalten der unterliegenden Hardware zu simulieren
4,10,German,Realisierung eines Simulationsmodus um das Verhalten der unterliegenden Hardware zu simulieren
4,11,English,"Analyse, Design und Implementation der benötigten Ablaufsteuerung und Softwarekomponenten"
4,11,German,"Analyse, Design und Implementation der benötigten Ablaufsteuerung und Softwarekomponenten"
4,11,English,Koordination der Schnittstellen mit den Entwicklern der Firmwarekomponenten
4,11,German,Koordination der Schnittstellen mit den Entwicklern der Firmwarekomponenten
4,12,English,Redesign der bestehenden Applikation und Ersatz durch eine objektorientierte Architektur auf Basis von hierarchischen State Machines.
4,12,German,Redesign der bestehenden Applikation und Ersatz durch eine objektorientierte Architektur auf Basis von hierarchischen State Machines.
4,12,English,"Optimierung der Performance von Firmware-, Printer- und Bildverarbeitungs- Software."
4,12,German,"Optimierung der Performance von Firmware-, Printer- und Bildverarbeitungs- Software."
4,12,English,Erstellen eines mathematischen Ablaufmodells und der zugehörigen Simulation um die Engpässe in der Performance zu detektieren.
4,12,German,Erstellen eines mathematischen Ablaufmodells und der zugehörigen Simulation um die Engpässe in der Performance zu detektieren.
4,12,English,Koordination der Änderungen mit den Verantwortlichen der Firmware Software.
4,12,German,Koordination der Änderungen mit den Verantwortlichen der Firmware Software.
4,13,English,"Implementation von Algorithmen (Bollinger Band, MACD…) für die Analyse von Börsendaten in entsprechenden Charts."
4,13,German,"Implementation von Algorithmen (Bollinger Band, MACD…) für die Analyse von Börsendaten in entsprechenden Charts."
4,13,English,"Entwicklung eines WEB basierten Editors zur Erstellung, Verwaltung und Veröffentlichung der Chart Templates."
4,13,German,"Entwicklung eines WEB basierten Editors zur Erstellung, Verwaltung und Veröffentlichung der Chart Templates."
4,14,English,Mithilfe bei der Beschreibung des Handbuchs für den Disponenten und Erweiterung des Benutzerinterfaces.
4,14,German,Mithilfe bei der Beschreibung des Handbuchs für den Disponenten und Erweiterung des Benutzerinterfaces.
4,14,English,"Analyse, Design, Implementierung und Test von Modulen für den Leitrechner."
4,14,German,"Analyse, Design, Implementierung und Test von Modulen für den Leitrechner."
4,15,English,Erarbeiten von Testspezifikationen und entwickeln von Test-Tools für die automatische Durchführung von Regressionstests
4,15,German,Erarbeiten von Testspezifikationen und entwickeln von Test-Tools für die automatische Durchführung von Regressionstests
4,15,English,Installation von neuen Software Versionen für die Testumgebung.
4,15,German,Installation von neuen Software Versionen für die Testumgebung.
4,16,English,Definieren von Massnahmen und Aktivitäten um die Fehler zu finden.
4,16,German,Definieren von Massnahmen und Aktivitäten um die Fehler zu finden.
4,16,English,"Aufbau einer Testumgebung um möglichst viele Fehler zu erzeugen, damit in nützlicher Frist genügend Fehler analysiert werden konnten."
4,16,German,"Aufbau einer Testumgebung um möglichst viele Fehler zu erzeugen, damit in nützlicher Frist genügend Fehler analysiert werden konnten."
4,16,English,Evaluation und Einsatz von Fehleranalyse Tools wie BoundsChecker und BugTrapper.
4,16,German,Evaluation und Einsatz von Fehleranalyse Tools wie BoundsChecker und BugTrapper.
4,16,English,Implementierung der Code Instrumentierung für die Fehleranalyse und Stabilisierung des Systems.
4,16,German,Implementierung der Code Instrumentierung für die Fehleranalyse und Stabilisierung des Systems.
4,16,English,"Koordination der Massnahmen, Testaktivitäten und Fehlerbehebung mit der Projektleitung."
4,16,German,"Koordination der Massnahmen, Testaktivitäten und Fehlerbehebung mit der Projektleitung."
4,16,English,Einsatz von Fehleranalyse Tools für die Rapportierung der Abläufe und Fehlerfindung.
4,16,German,Einsatz von Fehleranalyse Tools für die Rapportierung der Abläufe und Fehlerfindung.
4,17,English,Durchführen der Projektleitung während der Wartungs- und Weiterentwicklungsphase.
4,17,German,Durchführen der Projektleitung während der Wartungs- und Weiterentwicklungsphase.
4,17,English,Erstellen der zugehörigen Spezifikationen und Konzepte.
4,17,German,Erstellen der zugehörigen Spezifikationen und Konzepte.
4,17,English,"Erstellen von Fixpreis Offerten für die Erweiterungen, Wartung, Design, Implementierung und Test der Applikation."
4,17,German,"Erstellen von Fixpreis Offerten für die Erweiterungen, Wartung, Design, Implementierung und Test der Applikation."
4,18,English,Realisierung der Benutzeroberfläche und des Zugriffs auf die Datenbank für die kundenseitige PayGuard Applikation
4,18,German,Realisierung der Benutzeroberfläche und des Zugriffs auf die Datenbank für die kundenseitige PayGuard Applikation
4,18,English,Koordination der Schnittstellen zur SQL Datenbank
4,18,German,Koordination der Schnittstellen zur SQL Datenbank
4,18,English,Erstellen eines Prototyps mit Visual Basic
4,18,German,Erstellen eines Prototyps mit Visual Basic
4,18,English,Applikationsentwicklung mit Visual FoxPro
4,18,German,Applikationsentwicklung mit Visual FoxPro
4,19,English,Design der Schnittstellen der Dynamic Link Library sowie Implementation und Test der verschiedenen Module.
4,19,German,Design der Schnittstellen der Dynamic Link Library sowie Implementation und Test der verschiedenen Module.
4,19,English,Entwicklung der grafischen Benutzeroberflächen in Visual Basic und deren Anbindung an die Library.
4,19,German,Entwicklung der grafischen Benutzeroberflächen in Visual Basic und deren Anbindung an die Library.
4,19,English,Portierung der Library für das Unix Betriebssystem.
4,19,German,Portierung der Library für das Unix Betriebssystem.
4,20,English,"Analyse, Design und Implementation der Zentrale Ablaufsteuerung für die Webmaschine."
4,20,German,"Analyse, Design und Implementation der Zentrale Ablaufsteuerung für die Webmaschine."
4,20,English,"Spezifikation und Definition der Schnittstellen zu den dezentralen Einheiten, die Teilaufgaben autonom lösen können."
4,20,German,"Spezifikation und Definition der Schnittstellen zu den dezentralen Einheiten, die Teilaufgaben autonom lösen können."
4,20,English,Verwendung des Frameworks der allgemeinen Basissteuerung welches das CAN Protokoll verwendet.
4,20,German,Verwendung des Frameworks der allgemeinen Basissteuerung welches das CAN Protokoll verwendet.
4,20,English,Koordination der Aufgaben mit den Verantwortlichen der dezentralen Einheiten.
4,20,German,Koordination der Aufgaben mit den Verantwortlichen der dezentralen Einheiten.
4,21,English,Definieren und Bestimmen von Methoden und Templates für den gesamten Testbereich.
4,21,German,Definieren und Bestimmen von Methoden und Templates für den gesamten Testbereich.
4,21,English,Gestalten der Ausbildung für ERNI-Mitarbeiter und Durchführung von fachlichen Review von Test-Projekten.
4,21,German,Gestalten der Ausbildung für ERNI-Mitarbeiter und Durchführung von fachlichen Review von Test-Projekten.
4,21,English,Unterstützung des Marketings und Coaching von Mitarbeitern mit Test-Aufgaben.
4,21,German,Unterstützung des Marketings und Coaching von Mitarbeitern mit Test-Aufgaben.
4,22,English,Fehleranalyse und Bugfix
4,22,English,Erstellung und Deployment der Release
4,22,English,Ausführen der Unit Test
4,22,English,Installationsanleitung Entwicklungsumgebung
4,23,English,Rolleninhaber als Testmanager und Tester
4,23,German,Rolleninhaber als Testmanager und Tester
4,23,English,Leitung und Ausführung von Testläufen
4,23,German,Leitung und Ausführung von Testläufen
4,23,English,Erstellen der Testreporte sowie Verifikation und Auswertung der Testresultate
4,23,German,Erstellen der Testreporte sowie Verifikation und Auswertung der Testresultate
5,24,English,Institutionalisieren der Configuration Managements im Programm (4 Projekte) und den entwickelten Applikationen
5,24,German,Institutionalisieren der Configuration Managements im Programm (4 Projekte) und den entwickelten Applikationen
5,24,English,Analyse der vorhandenen Configuration Management Tools und Integration in die Toolchain
5,24,German,Analyse der vorhandenen Configuration Management Tools und Integration in die Toolchain
5,24,English,Migration der bestehenden Projekte und Applikationen in die Repositories
5,24,German,Migration der bestehenden Projekte und Applikationen in die Repositories
5,25,English,Definition der Lernziele und Ausbildungsschwerpunkte
5,25,German,Definition der Lernziele und Ausbildungsschwerpunkte
5,25,English,"Planung und Umsetzung des Schulungsinhaltes in Bild, Text und Animationen"
5,25,German,"Planung und Umsetzung des Schulungsinhaltes in Bild, Text und Animationen"
5,25,English,Workshop-ähnliche Schulung der Schwepunktthemen anhand eines Fallbeispiels
5,26,English,"Planung, Priorisierung und Koordination der Treiberentwicklung in Absprache mit Marketing und globalem Benutzersupport"
5,26,German,"Planung, Priorisierung und Koordination der Treiberentwicklung in Absprache mit Marketing und globalem Benutzersupport"
5,26,English,Durchführung und Entscheidungsfindung im Rahmens des CRB
5,26,German,Durchführung und Entscheidungsfindung im Rahmens des CRB
5,26,English,Dokumentation und Meilensteinüberwachung gemäss dem Lifecycle Management Prozess der Instrumenten-Treiber
5,26,German,Dokumentation und Meilensteinüberwachung gemäss dem Lifecycle Management Prozess der Instrumenten-Treiber
5,27,English,Planung und Koordination der Tool-Einführung mit den Business Areas
5,27,German,Planung und Koordination der Tool-Einführung mit den Business Areas
5,27,English,Rolle des “Facilitators“ in den Requirements- und Test-Management Workshops
5,27,German,Rolle des “Facilitators“ in den Requirements- und Test-Management Workshops
5,27,English,Redaktion des periodisch veröffentlichten Newsletters
5,27,German,Redaktion des periodisch veröffentlichten Newsletters
5,28,English,Durchführung von Architektur Workshops
5,28,German,Durchführung von Architektur Workshops
5,28,English,Konsolidierung und Dokumentation der Workshop-Resultate
5,28,German,Konsolidierung und Dokumentation der Workshop-Resultate
5,28,English,Definition einer geeigneten Software-Architektur für den Workarea Manager (Datenmanager) der Instrumente
5,28,German,Definition einer geeigneten Software-Architektur für den Workarea Manager (Datenmanager) der Instrumente
5,29,English,Leitung von Entwicklungsprojekten zur Erstellung von Service Tools (CSV konform)
5,29,German,Leitung von Entwicklungsprojekten zur Erstellung von Service Tools (CSV konform)
5,29,English,Projektleiter Issue-Tracking Schemenupdates für Lifecycle Management Prozess von Produkten
5,29,German,Projektleiter Issue-Tracking Schemenupdates für Lifecycle Management Prozess von Produkten
5,29,English,"Teilprojektleiter Logistik: Schnittstelle zwischen Projektteam und der Logistik, sowie Koordination der Produktion, Einführung und Vertrieb von Produkten"
5,29,German,"Teilprojektleiter Logistik: Schnittstelle zwischen Projektteam und der Logistik, sowie Koordination der Produktion, Einführung und Vertrieb von Produkten"
5,29,English,"Project Management Office: Durchführung von Projekt-Reviews, Prozessverbesserung & -beschreibung, Überwachung und Qualitätsmanagement der Meilenstein-Lieferobjekte, patentrechtliche Abklärungen, Dokumentenarchivierung"
5,29,German,"Project Management Office: Durchführung von Projekt-Reviews, Prozessverbesserung & -beschreibung, Überwachung und Qualitätsmanagement der Meilenstein-Lieferobjekte, patentrechtliche Abklärungen, Dokumentenarchivierung"
5,30,English,"Planung, Koordination und Migration der Applikation von WebSphere 5.0 auf 6.0"
5,30,German,"Planung, Koordination und Migration der Applikation von WebSphere 5.0 auf 6.0"
5,30,English,Unterstützung in der Erstellung von Scripts zur automatischen Konfiguration der Server sowie dem Deployment der Applikationen
5,30,German,Unterstützung in der Erstellung von Scripts zur automatischen Konfiguration der Server sowie dem Deployment der Applikationen
5,31,English,Leitung des Entwicklerteams bestehend aus 4 internen und 2 externen Mitarbeitern
5,31,German,Leitung des Entwicklerteams bestehend aus 4 internen und 2 externen Mitarbeitern
5,31,English,Einführung eines Kundenmitarbeiters in J2EE
5,31,German,Einführung eines Kundenmitarbeiters in J2EE
5,31,English,"Analyst, Designer, Entwickler und Coach"
5,31,German,"Analyst, Designer, Entwickler und Coach"
5,31,English,Produktions- und Systemüberwachung
5,31,German,Produktions- und Systemüberwachung
5,32,English,Definition eines einheitlichen Test Case Template nach RUP zur Harmonisierung der Testfälle
5,32,German,Definition eines einheitlichen Test Case Template nach RUP zur Harmonisierung der Testfälle
5,32,English,"Schreiben von Test Cases, Testaufbau und -umsetzung"
5,32,German,"Schreiben von Test Cases, Testaufbau und -umsetzung"
5,32,English,Planung und Coaching der Kunden-Mitarbeiter beim Erstellen der Test Cases
5,32,German,Planung und Coaching der Kunden-Mitarbeiter beim Erstellen der Test Cases
5,33,English,Design und Implementierung der Steuer- und Bildbearbeitungssoftware eines Farbmess-Systems
5,33,German,Design und Implementierung der Steuer- und Bildbearbeitungssoftware eines Farbmess-Systems
5,33,English,Erstellen einer Schnittstelle zu den verschiedenen Kamera-Typen
5,33,German,Erstellen einer Schnittstelle zu den verschiedenen Kamera-Typen
5,33,English,Prototyping für das grafische Benutzer-Interface
5,33,German,Prototyping für das grafische Benutzer-Interface
5,34,English,Ableitung von Test Cases aus Use Cases
5,34,German,Ableitung von Test Cases aus Use Cases
5,34,English,Systematisches Testen einer umfassenden Applikation
5,34,German,Systematisches Testen einer umfassenden Applikation
5,34,English,Koordination der Korrekturmassnahmen
5,34,German,Koordination der Korrekturmassnahmen
5,34,English,Planung der Weiterentwicklung
5,34,German,Planung der Weiterentwicklung
5,34,English,Testautomation des GUI-Clients mit Rational Robot
5,34,German,Testautomation des GUI-Clients mit Rational Robot
5,35,English,OOA/OOD mit UML und Umsetzung in Java
5,35,German,OOA/OOD mit UML und Umsetzung in Java
5,35,English,Analyse- und Design-Patterns
5,35,German,Analyse- und Design-Patterns
5,35,English,Projektmanagement
5,35,German,Projektmanagement
5,35,English,Testmethodik
5,35,German,Testmethodik
5,36,English,"Entwurf einer Softwarearchitektur (modular, komponentenbasiert)"
5,36,German,"Entwurf einer Softwarearchitektur (modular, komponentenbasiert)"
5,36,English,Umsetzung des objektorientierten Softwaredesigns zur Simulation von thermischen Solaranlagen
5,36,German,Umsetzung des objektorientierten Softwaredesigns zur Simulation von thermischen Solaranlagen
5,37,English,Evaluierung und Präsentation der geeigneten OpenSource-Produkte
5,37,German,Evaluierung und Präsentation der geeigneten OpenSource-Produkte
5,37,English,Integration der FOP-Technologie (Apache) in das Produkt des Kunden
5,37,German,Integration der FOP-Technologie (Apache) in das Produkt des Kunden
5,38,English,"Analyse, Design, Implementierung"
5,38,German,"Analyse, Design, Implementierung"
5,38,English,Technische Fehleranalyse
5,38,German,Technische Fehleranalyse
5,38,English,Test der Applikation inklusive Datenbankzugriff
5,38,German,Test der Applikation inklusive Datenbankzugriff
5,38,English,Maintenance von produktiven Applikationen
5,38,German,Maintenance von produktiven Applikationen
5,39,English,"Analyse, Design, Implementation von Smalltalk-Komponenten"
5,39,German,"Analyse, Design, Implementation von Smalltalk-Komponenten"
5,39,English,Realisieren von graphischen Benutzerschnittstellen und Datenbankzugriffen
5,39,German,Realisieren von graphischen Benutzerschnittstellen und Datenbankzugriffen
5,40,English,Organisation und Führung des Requirement Management Teams zur Erstellung der technischen Requirements
5,40,German,Organisation und Führung des Requirement Management Teams zur Erstellung der technischen Requirements
5,40,English,Erfassen und verwalten der Requirements (Customer-Product-Technical-Detail Specification) und Produktrisiken sowie deren Traceability in HP Quality Center
5,40,English,Planung und Durchführung von Requirement Workshops
5,40,English,Definition des Review Prozesses und Durchführung der Reviews
5,40,German,Definition des Review Prozesses und Durchführung der Reviews
6,41,German,Verantwortung für alle internationalen Unternehmungen und die zentrale Dienstleistungsentwicklung
6,41,German,Mitarbeit an Ausbau und Internationalisierung der Firma
6,41,German,Geschäftsleitung
6,42,German,Leitung des Projektes
6,42,German,Beratung bezüglich der geeigneten Prozesse und der passenden Aufbauorganisation
6,43,German,Leitung des Projektes
6,43,German,"Beratung bezüglich den geeigneten Prozessen, Methoden und Werkzeuge und Coaching bei deren Anwendung"
6,44,German,Verantwortung für einen Marktbereich
6,44,German,Mitarbeit an Auf- und Ausbau der Firma
6,44,German,Mitglied der Geschäftsleitung
6,45,German,Auf- und Ausbau des konsequent prozessorientierten Qualitätsmanagementsystems (QMS)
6,45,German,Laufende Anpassung des intranetbasierten Systems an das Wachstum der Firma
6,46,German,Process Owner für alle Projektprozesse
6,46,German,Aufbau und Führung der Qualitätssicherungsmassnahmen
6,46,German,Einführung und Coaching der Project Quality Manager
6,47,German,"Beratung bezüglich den geeigneten Prozessen, Methoden und Werkzeuge"
6,47,German,Coaching bei deren Anwendung
6,48,German,Strukturierung der Entwicklungsprozesse
6,48,German,Betreuung der Umsetzung in den im Hinblick auf einen Messetermin zeitkritischen Projekten
6,49,German,Definition des Prozesses für das Requirement Engineering
6,49,German,Schulung des Teams in der UseCase-Methodik
6,49,German,Betreuung bei der Anwendung im Pilotprojekt
6,50,German,Leitung und Coaching des Requirement Team
6,51,German,Identifikation und Beschreibung der Business Prozesse und Business Entities
6,52,German,Aufbau der personellen Kapazität
6,52,German,Pflege und Weiterentwicklung der fachlichen Kompetenz
6,53,German,Definition und Umsetzung systematischer Abläufe
6,53,German,Aufbau einer Entwicklungsumgebung mit geeigneten Methoden und Werkzeugen
6,53,German,Zertifizierung nach ISO 9001
6,54,German,"Design, Realisierung und Inbetriebnahme"
6,55,German,Projektleitungen
6,55,German,fachliche Führung der Mitarbeiter
6,56,German,Projektleitung
6,56,German,"Design, Realisierung und Testmanagement."
6,57,German,Coaching von Mitarbeitern
6,57,German,Moderation von Workshops
6,58,German,"Projektleitung, Requirements Engineering"
6,59,German,Betreuung des Kunden
6,59,German,Analyse der im Feld aufgetretenen Probleme
6,59,German,Erstellen eines Massnahmenkataloges
6,59,German,Leitung der Umsetzung der Massnahmen
6,59,German,Durchführung der Feldtests bis zur Abnahme der Anlage
6,60,German,Analyse bestehender Anlagen
6,60,German,Konzeption des Systembaukastens
6,60,German,Leitung der Komponentenentwicklung
6,61,German,Mitarbeit am Auf- und Ausbau der Firma
6,61,German,Mitglied der Geschäftsleitung
6,62,German,Ermittlung des Entwicklungsstandes an den Anlagen
6,62,German,Einführung und Koordination von systematischen Modul- und Integrationstests.
6,62,German,Führen eines Massnahmenkataloges zu Handen der Projektleitung
6,63,German,Auf- und Ausbau des konsequent prozessorientierten Qualitätsmanagementsystems (QMS)
6,63,German,Laufende Anpassung des intranetbasierten Systems an das Wachstum und die Internationalisierung der Firma
6,64,German,Process Owner für alle Service-Prozesse
6,64,German,Aufbau und Führung der Innovations- und Ausbildungstätigkeiten
6,64,German,Coaching der Service Verantwortlichen
6,65,German,Projektleitung
6,65,German,Analyse der Stärken und Schwächen und Erarbeitung von Massnahmenvorschlägen
6,65,German,Erschliessung des Optimierungspotentials durch Befähigung der Mitarbeiter und Führungskräfte
7,66,English,"Erfassen, Dokumentieren und Koordinieren der Anforderungen"
7,66,German,"Erfassen, Dokumentieren und Koordinieren der Anforderungen"
7,67,English,Analyse und Dokumentation der Anforderungen
7,67,German,Analyse und Dokumentation der Anforderungen
7,67,English,Leitung Aufbaus der Pilotinstallationen und der Validierung des Tools
7,67,German,Leitung Aufbaus der Pilotinstallationen und der Validierung des Tools
7,67,English,Schulung des Tools
7,67,German,Schulung des Tools
7,67,English,Projekt-Spezifische Tool-Anpassung konzipieren und realisieren
7,67,German,Projekt-Spezifische Tool-Anpassung konzipieren und realisieren
7,68,English,Definition der Disziplin Projektmanagement mit Workshops
7,68,German,Definition der Disziplin Projektmanagement mit Workshops
7,68,English,Dokumentation der Resultate in einem Prozess-Web
7,68,German,Dokumentation der Resultate in einem Prozess-Web
7,68,English,Training der Projektleiter.
7,68,German,Training der Projektleiter.
7,69,English,Durchführen von Schulungen und Coaching bei verschiedenen Kunden
7,69,German,Durchführen von Schulungen und Coaching bei verschiedenen Kunden
7,69,English,Tool-Einführung von MS Project.
7,69,German,Tool-Einführung von MS Project.
7,70,English,Identifikation und Festhalten der Business Needs
7,70,German,Identifikation und Festhalten der Business Needs
7,70,English,Analyse und Design des Werkzeuges.
7,70,German,Analyse und Design des Werkzeuges.
7,70,English,Implementation eines Prototyps auf Sciptbasis zur Erprobung der Praxistauglichkeit.
7,70,German,Implementation eines Prototyps auf Sciptbasis zur Erprobung der Praxistauglichkeit.
7,70,English,Unterstützung der Anwender und Optimierung
7,70,German,Unterstützung der Anwender und Optimierung
7,71,English,Projektverantwortung für das OO-Software-Teilprojekt mit bis zu fünf Mitarbeitern
7,71,German,Projektverantwortung für das OO-Software-Teilprojekt mit bis zu fünf Mitarbeitern
7,71,English,"Tätigkeiten im gesamten Entwicklungsprozess: Akquisition, Definition der Business Vision, Spezifikation der Use-Cases im Zusammenarbeit mit Kunden, Realisation, Testen, Integration bis Deployment."
7,71,German,"Tätigkeiten im gesamten Entwicklungsprozess: Akquisition, Definition der Business Vision, Spezifikation der Use-Cases im Zusammenarbeit mit Kunden, Realisation, Testen, Integration bis Deployment."
7,72,English,"Spezifikation, Definition und Implementation von Teilen der Software"
7,72,German,"Spezifikation, Definition und Implementation von Teilen der Software"
7,72,English,Entwicklungsverantwortung für die Teilbereiche Präsentation und Sales des OO-Software-Frameworks.
7,72,German,Entwicklungsverantwortung für die Teilbereiche Präsentation und Sales des OO-Software-Frameworks.
7,73,English,"Konzeption, Definition und Entwicklung des Software¬pro¬gramms Sculptor zur interaktiven Modellierung des architektonischen Raums."
7,73,German,"Konzeption, Definition und Entwicklung des Software¬pro¬gramms Sculptor zur interaktiven Modellierung des architektonischen Raums."
7,73,English,Unterhalte und Weiterentwicklung des Tools: Das Entwurfsinstrument fand bis heute weltweiten Einsatz bei über 2000 Studierenden.
7,73,German,Unterhalte und Weiterentwicklung des Tools: Das Entwurfsinstrument fand bis heute weltweiten Einsatz bei über 2000 Studierenden.
7,74,English,Konzipieren und Durchführen des Unterrichts
7,74,German,Konzipieren und Durchführen des Unterrichts
7,75,English,"Die Tätigkeiten umfassten die Teilprojektverantwortung, die Mitgestaltung des Projektantrags, die Spezifikation, die Entwicklung der Software und die Präsentation und Publikation der Resultate."
7,75,German,"Die Tätigkeiten umfassten die Teilprojektverantwortung, die Mitgestaltung des Projektantrags, die Spezifikation, die Entwicklung der Software und die Präsentation und Publikation der Resultate."
7,75,English,Forschungstätigkeit zur innovativen Verwendung von Methoden: der Künstlichen Intelligenz in Virtuellen Umgebungen.
7,75,German,Forschungstätigkeit zur innovativen Verwendung von Methoden: der Künstlichen Intelligenz in Virtuellen Umgebungen.
7,75,English,Mitentwicklung von Antrag und Vision des Projekt.
7,75,German,Mitentwicklung von Antrag und Vision des Projekt.
7,75,English,Funktion als SW-Architekt und Entwickler.
7,75,German,Funktion als SW-Architekt und Entwickler.
7,76,English,Design und Entwicklung der SW-Funktionalität
7,76,German,Design und Entwicklung der SW-Funktionalität
7,77,German,Definition des Vorgehen
7,77,English,Definition des Vorgehen
7,77,German,Strukturieren und Durchführen von Workshops
7,77,English,Strukturieren und Durchführen von Workshops
7,77,German,Definieren und Halten von Stakeholder-Interview
7,77,English,Definieren und Halten von Stakeholder-Interview
7,77,German,Sammeln und bewerten der Requirements
7,77,English,Sammeln und bewerten der Requirements
7,78,German,Durchführen der Review mit den Verantwortlichen für die Anforderungen in verschiedenen Projekte und Bewerten des Vorgehens
7,78,English,Durchführen der Review mit den Verantwortlichen für die Anforderungen in verschiedenen Projekte und Bewerten des Vorgehens
7,78,German,Vorschlagen von Verbesserungs-Massnahmen zuhanden der Projektleitung
7,78,English,Vorschlagen von Verbesserungs-Massnahmen zuhanden der Projektleitung
7,78,German,Beraten der Requirements Engineers bei der Wahl der Methoden und Vorgehensweisen
7,78,English,Beraten der Requirements Engineers bei der Wahl der Methoden und Vorgehensweisen
7,79,German,Definition von Struktur und Inhalt der Anforderungen aus Sicht der Kunden
7,79,English,Definition von Struktur und Inhalt der Anforderungen aus Sicht der Kunden
7,79,German,"Coaching des Requirements Teams, das die Anforderungen im Details erarbeitet"
7,79,English,"Coaching des Requirements Teams, das die Anforderungen im Details erarbeitet"
7,80,German,Gesamtverantwortung für die Erstellung der Publikation
7,80,English,Gesamtverantwortung für die Erstellung der Publikation
7,80,German,"Definition von Inhalt und Struktur, Auswahl der Methoden"
7,80,English,"Definition von Inhalt und Struktur, Auswahl der Methoden"
7,80,German,Verfassen von Teilen der Texte und Graphiken
7,80,English,Verfassen von Teilen der Texte und Graphiken
7,81,German,"Übersetzung, Vorbereitung, Leitung und alleinige Durchführung des Seminars"
7,81,English,"Übersetzung, Vorbereitung, Leitung und alleinige Durchführung des Seminars"
7,82,German,Durchführen der Interviews und Workshops zur Gestaltung und Abstimmung eines effizienten Prozesses.
7,82,English,Durchführen der Interviews und Workshops zur Gestaltung und Abstimmung eines effizienten Prozesses.
7,82,German,"Konzipieren, Definieren, Abstimmen und Coaching der Prozessbereiche."
7,82,English,"Konzipieren, Definieren, Abstimmen und Coaching der Prozessbereiche."
7,83,German,Durchführen der Interviews und Workshops zur Gestaltung und Abstimmung eines effizienten Prozesses.
7,83,English,Durchführen der Interviews und Workshops zur Gestaltung und Abstimmung eines effizienten Prozesses.
7,83,German,"Konzipieren, Definieren, Harmonisieren und Coaching der Prozessbereiche."
7,83,English,"Konzipieren, Definieren, Harmonisieren und Coaching der Prozessbereiche."
7,83,German,Leitung der Toolevaluation für ein Requirements Management Tool
7,83,English,Leitung der Toolevaluation für ein Requirements Management Tool
