PersonId,KnowHowId,KnowHow,Category,Subcategory,
4,2281,UML,Methods/Processes,NULL,
4,919,V-Model,Methods/Processes,NULL,
4,918,Waterfall,Methods/Processes,NULL,
4,642,Requirements Engineering,Methods/Processes,NULL,
4,599,System Testing,Methods/Processes,NULL,
4,460,Test Manager,Functions,NULL,
4,476,Consultancy,Functions,NULL,
4,597,Cryptology,Methods/Processes,NULL,
4,598,Embedded Systems,Methods/Processes,NULL,
4,280,Project Lead,Functions,NULL,
4,4,Photo lab equipment,Industries,NULL,
4,6,IT Security,Industries,NULL,
4,7,Air traffic control,Industries,NULL,
4,1,Metal construction,Industries,NULL,
4,2,Traffic control systems,Industries,NULL,
4,3,Stock Exchange and banks,Industries,NULL,
4,69,Medical Technology,Industries,NULL,
4,252,Project Engineer,Functions,NULL,
4,253,Tester,Functions,NULL,
4,255,Application developer,Functions,NULL,
4,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
5,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
5,5263,SOPHIST REgelwerk for natural language requirements,Methods/Processes,NULL,
5,5284,UML modeling,Methods/Processes,NULL,
5,5344,Microsoft SharePoint 2010,Technologies,Operating Systems,
5,4959,Configuration management,Technologies,Tools,
5,4985,Observation-interview,Methods/Processes,NULL,
5,4997,Workshopmoderator,Functions,NULL,
5,4582,Structured interviews and workshops ,Methods/Processes,NULL,
5,4611,OO-Analyse,Methods/Processes,NULL,
5,4770,Moderation,Methods/Processes,NULL,
5,6833,Requirements Manager,Functions,NULL,
5,7126,"Requirements survey technology: interviews, workshops",Methods/Processes,NULL,
5,7533,Analysis of interview results,Methods/Processes,NULL,
5,7644,Creation of specifications ,Methods/Processes,NULL,
5,7722,OO programming,Methods/Processes,NULL,
5,7922,Product Owner,Functions,NULL,
5,8133,Facilitated Workshop Moderation,Methods/Processes,NULL,
5,8137,Stakeholder Interviews,Methods/Processes,NULL,
5,8284,HP ALM,Technologies,Tools,
5,11569,SOPHIST Regelwerk für natürlichsprachliche Anforderungen,Methods/Processes,NULL,
5,9717,Balsamiq Mockups,Technologies,Tools,
5,259,Configuration Manager,Functions,NULL,
5,258,Business Analyst,Functions,NULL,
5,232,Insurance,Industries,NULL,
5,140,Banking,Industries,NULL,
5,69,Medical Technology,Industries,NULL,
5,11,Property management,Industries,NULL,
5,13,International insurance policies management,Industries,NULL,
5,14,Image processing,Industries,NULL,
5,15,Elevator control,Industries,NULL,
5,8,Health insurance,Industries,NULL,
5,9,Industry,Industries,NULL,
5,260,Retailer of software methodology as a lecturer,Functions,NULL,
5,261,Project and team leader in development projects and the lifecycle management,Functions,NULL,
5,262,"Analysis, design, implementation and testing client/server applications",Functions,NULL,
5,301,Software Engineer,Functions,NULL,
5,494,Course instructor,Functions,NULL,
5,392,Project Management Office,Functions,NULL,
5,619,Analyse & Design Patterns,Methods/Processes,NULL,
5,620,ERNI QMS,Methods/Processes,NULL,
5,621,Carrying out project reviews,Methods/Processes,NULL,
5,622,Process development,Methods/Processes,NULL,
5,623,Description and improvement,Methods/Processes,NULL,
5,624,Monitoring and quality management,Methods/Processes,NULL,
5,628,ERNI Services,Methods/Processes,NULL,
5,665,Review techniques,Methods/Processes,NULL,
5,685,Workshop moderation,Methods/Processes,NULL,
5,713,Presentation Techniques,Methods/Processes,NULL,
5,692,Requirements Tools,Methods/Processes,NULL,
5,676,"Facilitation of workshop, conduct interviews, presentation and training.",Methods/Processes,NULL,
5,691,Presentation and training techniques,Methods/Processes,NULL,
5,731,Scrum,Methods/Processes,NULL,
5,745,Workshop Facilitation,Methods/Processes,NULL,
5,903,All documentation and communication in English,Methods/Processes,NULL,
5,921,planning and conducting requirements workshops,Methods/Processes,NULL,
5,887,Training and Coaching,Methods/Processes,NULL,
5,795,Training,Methods/Processes,NULL,
5,804,Stakeholder Management,Methods/Processes,NULL,
5,822,MS Outlook,Technologies,Tools,
5,1055,Agile Software Development,Methods/Processes,NULL,
5,1059,Requirements Management,Methods/Processes,NULL,
5,1086,Certified SCRUM Master,Methods/Processes,NULL,
5,1169,Stakeholder analysis & management,Methods/Processes,NULL,
5,2281,UML,Methods/Processes,NULL,
5,1945,HPS (4GL),Technologies,Programming languages,
5,2006,MS Visual C++,Technologies,Programming languages,
5,2446,IBM ClearCase,Technologies,Tools,
5,2539,Visual SourceSafe 6.0,Technologies,Tools,
5,1254,Issue Tracking,Methods/Processes,NULL,
5,1476,"Requirements analysis (customer surveys, workshop, brainstorming)",Methods/Processes,NULL,
5,1494,Application Lifecycle Management,Methods/Processes,NULL,
5,1548,KPI / Metrices,Methods/Processes,NULL,
5,1553,Workshops with stakeholders,Methods/Processes,NULL,
5,1682,GUI Mockups,Methods/Processes,NULL,
5,1704,Business Analyse/Requirements Engineering,Methods/Processes,NULL,
5,1812,risk evaluation and handling,Other,NULL,
5,3072,Visual Basic for Applications (VBA),Technologies,Programming languages,
5,3098,Unix,Technologies,Operating Systems,
5,3107,MS Windows,Technologies,Operating Systems,
5,3108,OS/2,Technologies,Operating Systems,
5,3248,C++,Technologies,Programming languages,
5,3260,Java,Technologies,Programming languages,
5,3253,XML,Technologies,Programming languages,
5,3252,HTML,Technologies,Programming languages,
5,3261,Smalltalk,Technologies,Programming languages,
5,3266,ASP,Technologies,Packages,
5,3265,JSP,Technologies,Programming languages,
5,3262,Pascal,Technologies,Programming languages,
5,3263,SQL,Technologies,Programming languages,
5,3271,MS Project,Technologies,Tools,
5,3277,Perl,Technologies,Programming languages,
5,3267,JavaScript,Technologies,Programming languages,
5,3473,VisualAge,Technologies,Packages,
5,3472,ODBC,Technologies,Packages,
5,3461,AWT,Technologies,Packages,
5,3464,"J2EE/EJB (Bea WebLogic, IBM WebSphere)",Technologies,Packages,
5,3465,CORBA (IONA Orbix),Technologies,Packages,
5,3466,MQ Series,Technologies,Packages,
5,3471,JDBC,Technologies,Packages,
5,3469,RMI,Technologies,Packages,
5,3470,JMS,Technologies,Packages,
5,3460,J2EE,Technologies,Packages,
5,3467,JUnit,Technologies,Packages,
5,3459,MFC,Technologies,Packages,
5,3462,Swing,Technologies,Packages,
5,3463,STL,Technologies,Packages,
5,3468,Servlets,Technologies,Packages,
5,3276,CGI,Technologies,Programming languages,
5,3686,Subversion (SVN),Technologies,Tools,
5,3692,HP Quality Center,Technologies,Tools,
5,3609,Oracle,Technologies,Databases,
5,3611,MS Access,Technologies,Databases,
5,3620,IBM DB2,Technologies,Databases,
5,3685,CVS,Technologies,Tools,
5,3694,IBM Rational ClearQuest,Technologies,Tools,
5,3681,MS Word,Technologies,Tools,
5,3700,Eclipse,Technologies,Tools,
5,3712,MS Excel,Technologies,Tools,
5,3709,CARNOT Workflow Engine,Technologies,Tools,
5,3698,Rational Rose,Technologies,Tools,
5,3707,TOAD,Technologies,Tools,
5,3740,Sparx Enterprise Architect,Technologies,Tools,
5,3691,SAP/DVS,Technologies,Tools,
5,3701,JBuilder,Technologies,Tools,
5,3705,ENVY,Technologies,Tools,
5,3706,SQL Plus,Technologies,Tools,
5,3695,Rational Robot,Technologies,Tools,
5,3708,MQ Explorer,Technologies,Tools,
5,3721,XSLT,Technologies,Programming languages,
5,3730,IBM Rational RequisitePro,Technologies,Tools,
5,3916,MS Visual SourceSafe,Technologies,Tools,
5,3953,IBM Rational Software Modeler,Technologies,Tools,
5,3971,Borland Together,Technologies,Tools,
5,3972,"Licensed (CVS, SVN)",Technologies,Tools,
5,3819,IBM Rational Application Developer,Technologies,Tools,
5,3748,IBM Rational ClearCase,Technologies,Tools,
5,4233,TCP/IP,Technologies,Networks/Protocols,
5,4042,Atlassian JIRA,Technologies,Tools,
5,4000,Borland C++ Builder,Technologies,Tools,
5,4046,Business Process Model and Notation (BPMN),Methods/Processes,NULL,
5,4091,PL/SQL Developer,Technologies,Tools,
6,3713,Object-oriented software developed for Windows,Technologies,Tools,
6,3714,Real-time control,Technologies,Tools,
6,2281,UML,Methods/Processes,NULL,
6,650,Introduction and optimization of product development processes,Methods/Processes,NULL,
6,651,Courses and Projekt Coaching for development methodology,Methods/Processes,NULL,
6,654,QFD,Methods/Processes,NULL,
6,625,CMMI,Methods/Processes,NULL,
6,642,Requirements Engineering,Methods/Processes,NULL,
6,263,Experience level Department,Functions,NULL,
6,264,Area and the Executive Board,Functions,NULL,
6,265,Leadership/facilitation of interdisciplinary development teams compartment,Functions,NULL,
6,266,Managing complex product and software development,Functions,NULL,
6,9,Industry,Industries,NULL,
6,69,Medical Technology,Industries,NULL,
6,140,Banking,Industries,NULL,
6,232,Insurance,Industries,NULL,
6,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
7,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
7,4472,OOD,Methods/Processes,NULL,
7,69,Medical Technology,Industries,NULL,
7,9,Industry,Industries,NULL,
7,17,Financial accounting,Industries,NULL,
7,18,Management,Industries,NULL,
7,267,"Requirements Engineer (Expertisen, Bewertung, Coaching, Training, Workshops, Int",Functions,NULL,
7,268,Process assessor and engineer,Functions,NULL,
7,269,Project Manager of innovative software development projects,Functions,NULL,
7,625,CMMI,Methods/Processes,NULL,
7,672,"CMMI process assessment, - improvement and engineering",Methods/Processes,NULL,
7,673,Design and implementation of development processes for RUP and in the regulated ,Methods/Processes,NULL,
7,674,Definition of requirements (RUP: business modeling and requirements engineering),Methods/Processes,NULL,
7,675,"Analysis, design and implementation of an OO software applications",Methods/Processes,NULL,
7,663,Use Cases,Methods/Processes,NULL,
7,676,"Facilitation of workshop, conduct interviews, presentation and training.",Methods/Processes,NULL,
7,686,Extreme Programming,Methods/Processes,NULL,
7,755,HERMES,Methods/Processes,NULL,
7,919,V-Model,Methods/Processes,NULL,
7,1920,Sniff+,Technologies,Tools,
7,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
7,3248,C++,Technologies,Programming languages,
7,3250,C,Technologies,Programming languages,
7,3111,Macintosh,Technologies,Operating Systems,
7,3112,IRIX,Technologies,Operating Systems,
7,3107,MS Windows,Technologies,Operating Systems,
7,3098,Unix,Technologies,Operating Systems,
7,3730,IBM Rational RequisitePro,Technologies,Tools,
7,3717,Workshop and presentation techniques,Technologies,Tools,
7,3718,Interview and coaching Techniques,Methods/Processes,NULL,
7,3720,SoDA,Technologies,Tools,
7,3716,UML 2.0,Methods/Processes,NULL,
7,3740,Sparx Enterprise Architect,Technologies,Tools,
7,3685,CVS,Technologies,Tools,
7,3611,MS Access,Technologies,Databases,
7,3609,Oracle,Technologies,Databases,
7,3276,CGI,Technologies,Programming languages,
7,3274,LISP,Technologies,Programming languages,
7,3275,Modula-2,Technologies,Programming languages,
7,3608,MySQL,Technologies,Databases,
7,3267,JavaScript,Technologies,Programming languages,
7,3277,Perl,Technologies,Programming languages,
7,3278,PHP Version 4,Technologies,Programming languages,
7,3271,MS Project,Technologies,Tools,
7,3263,SQL,Technologies,Programming languages,
7,3262,Pascal,Technologies,Programming languages,
7,3253,XML,Technologies,Programming languages,
8,3281,OO Pascal,Technologies,Programming languages,
8,3275,Modula-2,Technologies,Programming languages,
8,3280,Ada,Technologies,Programming languages,
8,3692,HP Quality Center,Technologies,Tools,
8,3694,IBM Rational ClearQuest,Technologies,Tools,
8,3726,Mercury TestDirector,Technologies,Tools,
8,3715,SA/SD,Technologies,Tools,
8,3691,SAP/DVS,Technologies,Tools,
8,3099,Windows XP,Technologies,Operating Systems,
8,3109,Windows 2000,Technologies,Operating Systems,
8,3105,Windows NT,Technologies,Operating Systems,
8,3114,Mac OS 9/X,Technologies,Operating Systems,
8,3115,Windows 7,Technologies,Operating Systems,
8,3250,C,Technologies,Programming languages,
8,3188,HP-UniX,Technologies,Operating Systems,
8,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
8,1977,MS FrontPage,Technologies,Tools,
8,1658,System Engineering,Methods/Processes,NULL,
8,1354,Optimization of product development processes,Methods/Processes,NULL,
8,887,Training and Coaching,Methods/Processes,NULL,
8,722,IT service management according to ITIL in different core processes,Methods/Processes,NULL,
8,723,"Marketing, development and introduction of new service products",Methods/Processes,NULL,
8,750,Goal-Question-Metrics,Methods/Processes,NULL,
8,731,Scrum,Methods/Processes,NULL,
8,717,MS Project Server,Technologies,Tools,
8,719,Implementation of measurement systems determining the efficiency of the process,Methods/Processes,NULL,
8,720,Implementation of regulatory requirements in development processes,Methods/Processes,NULL,
8,721,"Process launches, process analysis and optimization",Methods/Processes,NULL,
8,716,ITIL,Methods/Processes,NULL,
8,625,CMMI,Methods/Processes,NULL,
8,642,Requirements Engineering,Methods/Processes,NULL,
8,270,"Management of innovative, complex development and integration projects",Functions,NULL,
8,271,Experience level Department and as a member of the Executive Board,Functions,NULL,
8,272,Workshop moderation with interdisciplinary teams,Functions,NULL,
8,9,Industry,Industries,NULL,
8,69,Medical Technology,Industries,NULL,
8,140,Banking,Industries,NULL,
8,4472,OOD,Methods/Processes,NULL,
8,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
8,5377,Agile methods,Methods/Processes,NULL,
8,6886,Knowledge Management,Methods/Processes,NULL,
8,5909,Telecommunication,Industries,NULL,
8,10688,Lean Development,Methods/Processes,NULL,
8,8284,HP ALM,Technologies,Tools,
10,5909,Telecommunication,Industries,NULL,
10,6203,Analyst,Functions,NULL,
10,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
10,253,Tester,Functions,NULL,
10,9,Industry,Industries,NULL,
10,20,Construction,Industries,NULL,
10,21,Facility Management,Industries,NULL,
10,7,Air traffic control,Industries,NULL,
10,343,Project Manager,Functions,NULL,
10,460,Test Manager,Functions,NULL,
10,559,Consultant / vendor,Functions,NULL,
10,275,Site Manager,Functions,NULL,
10,277,Coach,Functions,NULL,
10,274,Team Leader,Functions,NULL,
10,276,Managing Director,Functions,NULL,
10,731,Scrum,Methods/Processes,NULL,
10,3732,Creativity techniques,Technologies,Tools,
10,3733,Problem-solving methods,Technologies,Tools,
11,3735,SAF V2 (Safety Assessment Framework Version 2),Technologies,Tools,
11,617,SWALCH,Methods/Processes,NULL,
11,282,Process Engineer,Functions,NULL,
11,281,Sub-project leader,Functions,NULL,
11,280,Project Lead,Functions,NULL,
11,460,Test Manager,Functions,NULL,
11,23,Air Traffic Management,Industries,NULL,
11,70,Healthcare,Industries,NULL,
11,258,Business Analyst,Functions,NULL,
11,232,Insurance,Industries,NULL,
11,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
11,7922,Product Owner,Functions,NULL,
12,8378,.NET Framework 4.0  ,Technologies,Tools,
12,10371,Microsoft Team Foundation Server (TFS),Technologies,Tools,
12,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
12,4472,OOD,Methods/Processes,NULL,
12,4241,WSDL,Technologies,Networks/Protocols,
12,4754,VB.NET,Technologies,Programming languages,
12,6928,VB 6.0,Technologies,Programming languages,
12,70,Healthcare,Industries,NULL,
12,52,Aviation,Industries,NULL,
12,69,Medical Technology,Industries,NULL,
12,9,Industry,Industries,NULL,
12,26,Logistics,Industries,NULL,
12,28,Pharma,Industries,NULL,
12,25,Federal Government,Industries,NULL,
12,283,Specify requirements and review on level PRQ,Functions,NULL,
12,284,SRS and subsystem specification,Functions,NULL,
12,285,Design and testing of industrial applications,Functions,NULL,
12,286,"Architecture, analysis, design, implementation, testing of software applications",Functions,NULL,
12,289,SCRUM master and Stellvertereter project manager of part of,Functions,NULL,
12,287,Development in the areas of client server applications,Functions,NULL,
12,288,Databases and systems,Functions,NULL,
12,731,Scrum,Methods/Processes,NULL,
12,751,ERM,Methods/Processes,NULL,
12,753,MSF,Methods/Processes,NULL,
12,752,Agile project management,Methods/Processes,NULL,
12,919,V-Model,Methods/Processes,NULL,
12,2281,UML,Methods/Processes,NULL,
12,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
12,3250,C,Technologies,Programming languages,
12,3248,C++,Technologies,Programming languages,
12,3115,Windows 7,Technologies,Operating Systems,
12,3102,Windows 98,Technologies,Operating Systems,
12,3101,Windows 95,Technologies,Operating Systems,
12,3109,Windows 2000,Technologies,Operating Systems,
12,3099,Windows XP,Technologies,Operating Systems,
12,3100,Windows Vista,Technologies,Operating Systems,
12,3736,Agile methodologies,Technologies,Tools,
12,3740,Sparx Enterprise Architect,Technologies,Tools,
12,3781,MS Visio,Technologies,Tools,
12,3730,IBM Rational RequisitePro,Technologies,Tools,
12,3722,XMLSpy,Technologies,Tools,
12,3737,.NET,Technologies,Packages,
12,3700,Eclipse,Technologies,Tools,
12,3692,HP Quality Center,Technologies,Tools,
12,3690,Visual Studio,Technologies,Tools,
12,3686,Subversion (SVN),Technologies,Tools,
12,3609,Oracle,Technologies,Databases,
12,3611,MS Access,Technologies,Databases,
12,3614,MS SQL Server,Technologies,Databases,
12,4233,TCP/IP,Technologies,Networks/Protocols,
12,4240,SOAP,Technologies,Networks/Protocols,
12,3748,IBM Rational ClearCase,Technologies,Tools,
12,3739,Enterprise Manager,Technologies,Tools,
12,3916,MS Visual SourceSafe,Technologies,Tools,
12,3608,MySQL,Technologies,Databases,
12,3479,WF,Technologies,Packages,
12,3484,CAB (Composite UI Application Block),Technologies,Packages,
12,3478,WCF,Technologies,Packages,
12,3480,WPF,Technologies,Packages,
12,3481,WinForms,Technologies,Packages,
12,3474,.NET 1.x,Technologies,Packages,
12,3475,.NET 2.x,Technologies,Packages,
12,3476,.NET 3.x,Technologies,Packages,
12,3482,Infragistics NetAdvantage,Technologies,Packages,
12,3483,DevExpress,Technologies,Packages,
12,3283,T-SQL,Technologies,Programming languages,
12,3273,PL/SQL,Technologies,Programming languages,
12,3262,Pascal,Technologies,Programming languages,
12,3254,Assembler,Technologies,Programming languages,
12,3253,XML,Technologies,Programming languages,
12,3260,Java,Technologies,Programming languages,
12,3258,C#,Technologies,Programming languages,
13,3258,C#,Technologies,Programming languages,
13,3260,Java,Technologies,Programming languages,
13,3283,T-SQL,Technologies,Programming languages,
13,3489,Infragistics,Technologies,Packages,
13,3459,MFC,Technologies,Packages,
13,4239,Ethernet,Technologies,Networks/Protocols,
13,4233,TCP/IP,Technologies,Networks/Protocols,
13,3611,MS Access,Technologies,Databases,
13,3615,MS SQL Server 2000,Technologies,Databases,
13,3607,MS SQL Server 2005,Technologies,Databases,
13,3690,Visual Studio,Technologies,Tools,
13,3737,.NET,Technologies,Packages,
13,3740,Sparx Enterprise Architect,Technologies,Tools,
13,3746,PowerBuilder,Technologies,Tools,
13,3099,Windows XP,Technologies,Operating Systems,
13,3109,Windows 2000,Technologies,Operating Systems,
13,3105,Windows NT,Technologies,Operating Systems,
13,3248,C++,Technologies,Programming languages,
13,3250,C,Technologies,Programming languages,
13,3168,Windows Server 2003,Technologies,Operating Systems,
13,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
13,2281,UML,Methods/Processes,NULL,
13,1407,Business process improvement/modeling,Methods/Processes,NULL,
13,1256,Optimization of structure and process organizations,Methods/Processes,NULL,
13,1258,IT-strategy and process consulting,Methods/Processes,NULL,
13,1216,Strategy formulation,Methods/Processes,NULL,
13,1109,Quality and maturity models CMMI,Methods/Processes,NULL,
13,949,Quality Management,Methods/Processes,NULL,
13,967,"Employee training and coaching (software development,QM, processes of Mutterges)",Methods/Processes,NULL,
13,756,PROMET BPR,Methods/Processes,NULL,
13,755,HERMES,Methods/Processes,NULL,
13,731,Scrum,Methods/Processes,NULL,
13,625,CMMI,Methods/Processes,NULL,
13,685,Workshop moderation,Methods/Processes,NULL,
13,291,Project management and coaching project management,Functions,NULL,
13,292,Coaching to sit by IT staff at the introduction of new technologies,Functions,NULL,
13,293,Instructor function,Functions,NULL,
13,294,Run by IT staff as a line manager,Functions,NULL,
13,295,Architecture and design of client/server applications in enterprise environment,Functions,NULL,
13,296,"Analysis, design, implementation and testing of innovative, complex development",Functions,NULL,
13,297,Review of application architectures,Functions,NULL,
13,264,Area and the Executive Board,Functions,NULL,
13,343,Project Manager,Functions,NULL,
13,484,Process Manager,Functions,NULL,
13,523,Risk Manager,Functions,NULL,
13,30,Investment banking,Industries,NULL,
13,32,Media,Industries,NULL,
13,31,Public authorities,Industries,NULL,
13,70,Healthcare,Industries,NULL,
13,232,Insurance,Industries,NULL,
13,140,Banking,Industries,NULL,
13,107,Public transport,Industries,NULL,
13,7009,ASP.NET,Technologies,Packages,
13,5564,Visual Facilitation,Methods/Processes,NULL,
13,4551,launch of business process management,Methods/Processes,NULL,
13,4472,OOD,Methods/Processes,NULL,
13,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
13,5221,Business process management,Methods/Processes,NULL,
13,8532,Verbände,Industries,NULL,
14,7922,Product Owner,Functions,NULL,
14,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
14,4472,OOD,Methods/Processes,NULL,
14,4242,CORBA,Technologies,Networks/Protocols,
14,4243,CAN/CANopen,Technologies,Networks/Protocols,
14,6928,VB 6.0,Technologies,Programming languages,
14,33,Pipeline and tank services,Industries,NULL,
14,34,Motor controllers,Industries,NULL,
14,23,Air Traffic Management,Industries,NULL,
14,298,Test Designer/Analyst,Functions,NULL,
14,300,Software Designer,Functions,NULL,
14,687,Design Patterns,Methods/Processes,NULL,
14,766,Test Management,Methods/Processes,NULL,
14,764,OOP,Methods/Processes,NULL,
14,765,Change Management,Methods/Processes,NULL,
14,1237,Test Automation,Methods/Processes,NULL,
14,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
14,3250,C,Technologies,Programming languages,
14,3248,C++,Technologies,Programming languages,
14,3109,Windows 2000,Technologies,Operating Systems,
14,3117,Microsoft IIS,Technologies,Operating Systems,
14,3099,Windows XP,Technologies,Operating Systems,
14,3100,Windows Vista,Technologies,Operating Systems,
14,3103,Linux,Technologies,Operating Systems,
14,3737,.NET,Technologies,Packages,
14,4233,TCP/IP,Technologies,Networks/Protocols,
14,4239,Ethernet,Technologies,Networks/Protocols,
14,3274,LISP,Technologies,Programming languages,
14,3288,Prolog,Technologies,Programming languages,
14,3287,Delphi,Technologies,Programming languages,
14,3469,RMI,Technologies,Packages,
14,3490,Java 2 Plattform,Technologies,Packages,
14,3491,Java Robotik Framework vom CSEM,Technologies,Packages,
14,3492,Java Media Framework,Technologies,Packages,
14,3608,MySQL,Technologies,Databases,
14,3263,SQL,Technologies,Programming languages,
14,3260,Java,Technologies,Programming languages,
14,3258,C#,Technologies,Programming languages,
16,3258,C#,Technologies,Programming languages,
16,3260,Java,Technologies,Programming languages,
16,3253,XML,Technologies,Programming languages,
16,3252,HTML,Technologies,Programming languages,
16,3263,SQL,Technologies,Programming languages,
16,3265,JSP,Technologies,Programming languages,
16,3266,ASP,Technologies,Packages,
16,3257,Python,Technologies,Programming languages,
16,3278,PHP Version 4,Technologies,Programming languages,
16,3273,PL/SQL,Technologies,Programming languages,
16,3267,JavaScript,Technologies,Programming languages,
16,3608,MySQL,Technologies,Databases,
16,3493,Mono,Technologies,Packages,
16,3497,Java Message Services (JMS),Technologies,Packages,
16,3469,RMI,Technologies,Packages,
16,3471,JDBC,Technologies,Packages,
16,3481,WinForms,Technologies,Packages,
16,3494,WebServices,Technologies,Packages,
16,3495,ADO.NET,Technologies,Packages,
16,3496,Hibernate,Technologies,Packages,
16,3346,Qt,Technologies,Packages,
16,3462,Swing,Technologies,Packages,
16,3460,J2EE,Technologies,Packages,
16,4239,Ethernet,Technologies,Networks/Protocols,
16,4240,SOAP,Technologies,Networks/Protocols,
16,4233,TCP/IP,Technologies,Networks/Protocols,
16,3748,IBM Rational ClearCase,Technologies,Tools,
