PersonId,ProjectId,KnowhowId,Knowhow,Category,SubCategory,
3,2,595,ERNI Development Process,Methods/Processes,NULL,
3,3,596,Bottom-up software development,Methods/Processes,NULL,
3,4,596,Bottom-up software development,Methods/Processes,NULL,
3,5,596,Bottom-up software development,Methods/Processes,NULL,
3,6,596,Bottom-up software development,Methods/Processes,NULL,
3,2833,6744,Emulation,Technologies,Other,
3,2833,6746,Hardware modeling,Methods/Processes,NULL,
3,2834,6747,Realtime Operating Systems,Technologies,Operating Systems,
3,2834,6748,Embedded Software Application,Technologies,Operating Systems,
3,2835,6744,Emulation,Technologies,Other,
3,2835,3553,Virtualization,Technologies,Packages,
4,7,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
4,7,1907,Interview and review technique,Methods/Processes,NULL,
4,7,919,V-Model,Methods/Processes,NULL,
4,8,1908,Serena ChangeMan Version Manager 8.1.2,Technologies,Other,
4,8,1909,Wind River Workbench 2.4 development environment,Technologies,Other,
4,8,1910,VxWorks real-time operating system,Technologies,Other,
4,8,1911,Rational Rose 8.1.0307,Technologies,Tools,
4,8,2281,UML,Methods/Processes,NULL,
4,8,3099,Windows XP,Technologies,Operating Systems,
4,8,3253,XML,Technologies,Programming languages,
4,8,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
4,8,7155,MS Visual C++ 6.0,Technologies,Programming languages,
4,9,3712,MS Excel,Technologies,Tools,
4,9,3253,XML,Technologies,Programming languages,
4,9,3072,Visual Basic for Applications (VBA),Technologies,Programming languages,
4,9,1914,XMLSpy 5.0,Technologies,Tools,
4,9,658,Interviewing techniques,Methods/Processes,NULL,
4,10,1916,Rational Rose 5.0,Technologies,Tools,
4,10,1917,Tornado 2.0,Technologies,Other,
4,10,2006,MS Visual C++,Technologies,Programming languages,
4,10,3105,Windows NT,Technologies,Operating Systems,
4,10,2281,UML,Methods/Processes,NULL,
4,10,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
4,11,3459,MFC,Technologies,Packages,
4,11,2281,UML,Methods/Processes,NULL,
4,11,3105,Windows NT,Technologies,Operating Systems,
4,11,2006,MS Visual C++,Technologies,Programming languages,
4,12,2006,MS Visual C++,Technologies,Programming languages,
4,12,3105,Windows NT,Technologies,Operating Systems,
4,12,2281,UML,Methods/Processes,NULL,
4,12,3459,MFC,Technologies,Packages,
4,13,3105,Windows NT,Technologies,Operating Systems,
4,13,3098,Unix,Technologies,Operating Systems,
4,13,3252,HTML,Technologies,Programming languages,
4,13,1918,Exceed for Win NT,Technologies,Operating Systems,
4,13,1919,X Win Server,Technologies,Other,
4,13,1920,Sniff+,Technologies,Tools,
4,14,1920,Sniff+,Technologies,Tools,
4,14,605,Use cases-driven development,Methods/Processes,NULL,
4,14,607,Development with sniff++,Methods/Processes,NULL,
4,14,611,OO,Methods/Processes,NULL,
4,14,3098,Unix,Technologies,Operating Systems,
4,14,3248,C++,Technologies,Programming languages,
4,15,3248,C++,Technologies,Programming languages,
4,15,918,Waterfall,Methods/Processes,NULL,
4,15,3748,IBM Rational ClearCase,Technologies,Tools,
4,16,3690,Visual Studio,Technologies,Tools,
4,16,1922,Analysis tools Boundschecker and BugTrapper,Technologies,Tools,
4,16,609,Code Instrumentation,Methods/Processes,NULL,
4,16,608,Code reviews,Methods/Processes,NULL,
4,16,3248,C++,Technologies,Programming languages,
4,17,2281,UML,Methods/Processes,NULL,
4,17,1923,GritPlus 3.0,Technologies,Tools,
4,17,1924,InstallShield 3.1,Technologies,Tools,
4,17,2006,MS Visual C++,Technologies,Programming languages,
4,17,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
4,18,1925,Visual FoxPro 4.0,Technologies,Databases,
4,18,918,Waterfall,Methods/Processes,NULL,
4,18,610,RAD (Rapid Application Development),Methods/Processes,NULL,
4,18,3101,Windows 95,Technologies,Operating Systems,
4,18,3105,Windows NT,Technologies,Operating Systems,
4,19,3098,Unix,Technologies,Operating Systems,
4,19,3106,Windows 3.x,Technologies,Operating Systems,
4,19,611,OO,Methods/Processes,NULL,
4,19,612,Abstract data types,Methods/Processes,NULL,
4,19,1926,Visual C++ 1.52,Technologies,Tools,
4,19,1927,DLL Dynamik Link Library,Technologies,Other,
4,19,6928,VB 6.0,Technologies,Programming languages,
4,20,4238,CAN,Technologies,Networks/Protocols,
4,20,3712,MS Excel,Technologies,Tools,
4,20,613,State-Event-Table,Methods/Processes,NULL,
4,20,611,OO,Methods/Processes,NULL,
4,20,3106,Windows 3.x,Technologies,Operating Systems,
4,21,614,ERNI Service Testing,Methods/Processes,NULL,
4,21,615,ISTQB Standard,Methods/Processes,NULL,
4,21,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
4,22,608,Code reviews,Methods/Processes,NULL,
4,22,1928,Wind River Workbench 3.1 / 3.3,Technologies,Other,
4,22,1352,Regression-Testing,Methods/Processes,NULL,
4,23,617,SWALCH,Methods/Processes,NULL,
4,23,618,ESSAR,Methods/Processes,NULL,
4,23,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
5,24,3686,Subversion (SVN),Technologies,Tools,
5,24,1930,Stages (Process Management Software),Technologies,Other,
5,24,2446,IBM ClearCase,Technologies,Tools,
5,25,625,CMMI,Methods/Processes,NULL,
5,25,626,Custom software engineering process,Methods/Processes,NULL,
5,25,3681,MS Word,Technologies,Tools,
5,25,3710,MS PowerPoint,Technologies,Tools,
5,26,3712,MS Excel,Technologies,Tools,
5,26,3691,SAP/DVS,Technologies,Tools,
5,26,3694,IBM Rational ClearQuest,Technologies,Tools,
5,26,3681,MS Word,Technologies,Tools,
5,26,627,Customer processes and methods,Methods/Processes,NULL,
5,26,628,ERNI Services,Methods/Processes,NULL,
5,26,1931,MKS Tracking Tool,Technologies,Tools,
5,26,3273,PL/SQL,Technologies,Programming languages,
5,26,3271,MS Project,Technologies,Tools,
5,27,3271,MS Project,Technologies,Tools,
5,27,628,ERNI Services,Methods/Processes,NULL,
5,27,629,Facilitated Workshop,Methods/Processes,NULL,
5,27,627,Customer processes and methods,Methods/Processes,NULL,
5,27,3681,MS Word,Technologies,Tools,
5,27,3692,HP Quality Center,Technologies,Tools,
5,27,3712,MS Excel,Technologies,Tools,
5,28,3681,MS Word,Technologies,Tools,
5,28,3740,Sparx Enterprise Architect,Technologies,Tools,
5,28,631,A&D,Methods/Processes,NULL,
5,28,746,Workshops,Methods/Processes,NULL,
5,28,1416,Modeling,Methods/Processes,NULL,
5,29,1933,MicroPatent,Technologies,Other,
5,29,633,Design Transfer & Lifecycle Management Process,Methods/Processes,NULL,
5,29,3271,MS Project,Technologies,Tools,
5,29,3730,IBM Rational RequisitePro,Technologies,Tools,
5,29,3681,MS Word,Technologies,Tools,
5,29,3712,MS Excel,Technologies,Tools,
5,29,3691,SAP/DVS,Technologies,Tools,
5,29,3694,IBM Rational ClearQuest,Technologies,Tools,
5,30,3685,CVS,Technologies,Tools,
5,30,3460,J2EE,Technologies,Packages,
5,30,3466,MQ Series,Technologies,Packages,
5,30,3612,Oracle 10g,Technologies,Databases,
5,30,4242,CORBA,Technologies,Networks/Protocols,
5,30,3253,XML,Technologies,Programming languages,
5,30,634,GAP Analysis,Methods/Processes,NULL,
5,30,1934,IBM WebSphere 6.x,Technologies,Tools,
5,30,1936,CARNOT Workflow Engine 3.0,Technologies,Tools,
5,30,1937,Eclipse/RAD/RSM,Technologies,Tools,
5,31,1938,IBM WebSphere 5.x,Technologies,Tools,
5,31,1939,CARNOT Workflow Engine 2.7,Technologies,Tools,
5,31,1940,Eclipse/WSAD,Technologies,Tools,
5,31,635,iterative approach,Methods/Processes,NULL,
5,31,3253,XML,Technologies,Programming languages,
5,31,4242,CORBA,Technologies,Networks/Protocols,
5,31,3971,Borland Together,Technologies,Tools,
5,31,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
5,31,3466,MQ Series,Technologies,Packages,
5,31,3467,JUnit,Technologies,Packages,
5,31,3460,J2EE,Technologies,Packages,
5,31,3685,CVS,Technologies,Tools,
5,31,3622,Oracle 9i,Technologies,Databases,
5,32,3681,MS Word,Technologies,Tools,
5,32,3712,MS Excel,Technologies,Tools,
5,32,3271,MS Project,Technologies,Tools,
5,32,636,Iteratives,Methods/Processes,NULL,
5,32,637,incremental approach,Methods/Processes,NULL,
5,33,638,Prototyping,Methods/Processes,NULL,
5,33,1943,Rational Rose 2000,Technologies,Tools,
5,33,3109,Windows 2000,Technologies,Operating Systems,
5,33,3459,MFC,Technologies,Packages,
5,33,7155,MS Visual C++ 6.0,Technologies,Programming languages,
5,33,3916,MS Visual SourceSafe,Technologies,Tools,
5,34,3712,MS Excel,Technologies,Tools,
5,34,3695,Rational Robot,Technologies,Tools,
5,34,3681,MS Word,Technologies,Tools,
5,34,639,Derive test cases from use cases,Methods/Processes,NULL,
5,35,640,Frontal,Methods/Processes,NULL,
5,35,641,Exercises and practical examples,Methods/Processes,NULL,
5,35,1944,JBuilder 4.0,Technologies,Tools,
5,35,3698,Rational Rose,Technologies,Tools,
5,36,3698,Rational Rose,Technologies,Tools,
5,36,4000,Borland C++ Builder,Technologies,Tools,
5,36,642,Requirements Engineering,Methods/Processes,NULL,
5,36,638,Prototyping,Methods/Processes,NULL,
5,37,644,Feasibility study,Methods/Processes,NULL,
5,37,757,Interviews,Methods/Processes,NULL,
5,37,2461,Apache Tomcat,Technologies,Tools,
5,37,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
5,37,3701,JBuilder,Technologies,Tools,
5,38,4472,OOD,Methods/Processes,NULL,
5,38,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
5,38,638,Prototyping,Methods/Processes,NULL,
5,38,1945,HPS (4GL),Technologies,Programming languages,
5,39,1946,Smalltalk VisualAge,Technologies,Other,
5,39,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
5,39,4472,OOD,Methods/Processes,NULL,
5,40,5013,Product Owner,Methods/Processes,NULL,
5,40,4046,Business Process Model and Notation (BPMN),Methods/Processes,NULL,
5,40,5528,Atlassian Confluence,Technologies,Tools,
5,40,5564,Visual Facilitation,Methods/Processes,NULL,
5,40,3691,SAP/DVS,Technologies,Tools,
5,40,3692,HP Quality Center,Technologies,Tools,
5,40,3740,Sparx Enterprise Architect,Technologies,Tools,
5,40,3740,Sparx Enterprise Architect,Technologies,Tools,
5,40,1564,Structured Interviews,Methods/Processes,NULL,
5,40,1465,"UML (use case, class, sequence, and activity diagrams)",Methods/Processes,NULL,
5,40,1476,"Requirements analysis (customer surveys, workshop, brainstorming)",Methods/Processes,NULL,
5,40,646,Requirement Management Proces of the Client,Methods/Processes,NULL,
5,40,647,SOPHIST REgelwerk,Methods/Processes,NULL,
5,40,648,Tagging with pLanguage,Methods/Processes,NULL,
5,40,761,Preparation and facilitation of workshops,Methods/Processes,NULL,
5,40,745,Workshop Facilitation,Methods/Processes,NULL,
5,40,804,Stakeholder Management,Methods/Processes,NULL,
5,40,11569,SOPHIST Regelwerk für natürlichsprachliche Anforderungen,Methods/Processes,NULL,
5,40,10710,Sparx Enterprise Architect & Documentation,Technologies,Tools,
5,40,10371,Microsoft Team Foundation Server (TFS),Technologies,Tools,
5,40,9717,Balsamiq Mockups,Technologies,Tools,
5,40,8284,HP ALM,Technologies,Tools,
5,6247,8284,HP ALM,Technologies,Tools,
5,6247,10371,Microsoft Team Foundation Server (TFS),Technologies,Tools,
5,6247,11082,EARS (The Easy Approach to Requirements Syntax),Methods/Processes,NULL,
5,6247,11083,"UML (Use Case-, Klassen-, Aktivitäts- und Zustandsdiagramme)",Methods/Processes,NULL,
5,6247,804,Stakeholder Management,Methods/Processes,NULL,
5,6247,646,Requirement Management Proces of the Client,Methods/Processes,NULL,
5,6247,3740,Sparx Enterprise Architect,Technologies,Tools,
5,6247,3691,SAP/DVS,Technologies,Tools,
5,6247,5528,Atlassian Confluence,Technologies,Tools,
5,6247,4046,Business Process Model and Notation (BPMN),Methods/Processes,NULL,
5,6834,4042,Atlassian JIRA,Technologies,Tools,
5,6834,5528,Atlassian Confluence,Technologies,Tools,
5,6834,6828,Agile Requirements Engineering,Methods/Processes,NULL,
5,6834,10165,"Agile Methoden (SCRUM, Kanban)",Methods/Processes,NULL,
5,6834,8019,Agile testing,Methods/Processes,NULL,
5,6834,9717,Balsamiq Mockups,Technologies,Tools,
5,6834,9838,QF-Test,Technologies,Tools,
6,42,655,ERNI Service Process Improvement,Methods/Processes,NULL,
6,42,658,Interviewing techniques,Methods/Processes,NULL,
6,42,656,Management and strategy methods,Methods/Processes,NULL,
6,42,657,Moderation techniques,Methods/Processes,NULL,
6,43,657,Moderation techniques,Methods/Processes,NULL,
6,43,658,Interviewing techniques,Methods/Processes,NULL,
6,43,659,ERNI services process improvement and testing,Methods/Processes,NULL,
6,43,2281,UML,Methods/Processes,NULL,
6,43,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
6,45,660,ISO 9001:2000,Methods/Processes,NULL,
6,47,658,Interviewing techniques,Methods/Processes,NULL,
6,47,657,Moderation techniques,Methods/Processes,NULL,
6,47,655,ERNI Service Process Improvement,Methods/Processes,NULL,
6,47,2281,UML,Methods/Processes,NULL,
6,47,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
6,48,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
6,48,661,ERNI Service Project Management,Methods/Processes,NULL,
6,49,662,ERNI Service Requirements Engineering,Methods/Processes,NULL,
6,49,663,Use Cases,Methods/Processes,NULL,
6,49,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
6,50,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
6,50,663,Use Cases,Methods/Processes,NULL,
6,50,662,ERNI Service Requirements Engineering,Methods/Processes,NULL,
6,51,662,ERNI Service Requirements Engineering,Methods/Processes,NULL,
6,51,2281,UML,Methods/Processes,NULL,
6,51,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
6,53,635,iterative approach,Methods/Processes,NULL,
6,53,919,V-Model,Methods/Processes,NULL,
6,54,1947,ABB Roboter und Siemens SPS,Technologies,Other,
6,55,1949,PC mit Win 95,Technologies,Other,
6,55,1948,B&R real-time control with C,Technologies,Packages,
6,55,2277,Object Oriented Analysis and Design (OOAD),Methods/Processes,NULL,
6,55,3248,C++,Technologies,Programming languages,
6,55,4472,OOD,Methods/Processes,NULL,
6,55,3715,SA/SD,Technologies,Tools,
6,56,3715,SA/SD,Technologies,Tools,
6,56,1948,B&R real-time control with C,Technologies,Packages,
6,56,1950,Siemens SPS,Technologies,Other,
6,57,654,QFD,Methods/Processes,NULL,
6,57,665,Review techniques,Methods/Processes,NULL,
6,57,666,Release education,Methods/Processes,NULL,
6,57,3715,SA/SD,Technologies,Tools,
6,58,3715,SA/SD,Technologies,Tools,
6,58,1950,Siemens SPS,Technologies,Other,
6,58,1951,Embedded systems with Motorola mC,Technologies,Other,
6,58,3250,C,Technologies,Programming languages,
6,59,1952,PC mit Windows 3.11 und Borland C++,Technologies,Other,
6,59,1950,Siemens SPS,Technologies,Other,
6,59,667,Project management methods including stakeholder management,Methods/Processes,NULL,
6,60,1947,ABB Roboter und Siemens SPS,Technologies,Other,
6,60,1658,System Engineering,Methods/Processes,NULL,
6,62,1948,B&R real-time control with C,Technologies,Packages,
6,62,766,Test Management,Methods/Processes,NULL,
6,62,3248,C++,Technologies,Programming languages,
6,62,3105,Windows NT,Technologies,Operating Systems,
6,62,2281,UML,Methods/Processes,NULL,
6,62,3715,SA/SD,Technologies,Tools,
6,63,670,ISO 9001:2008,Methods/Processes,NULL,
6,65,671,ERNI Fitness Check,Methods/Processes,NULL,
6,65,662,ERNI Service Requirements Engineering,Methods/Processes,NULL,
6,65,655,ERNI Service Process Improvement,Methods/Processes,NULL,
6,1642,655,ERNI Service Process Improvement,Methods/Processes,NULL,
6,1642,671,ERNI Fitness Check,Methods/Processes,NULL,
6,1642,744,Coverage Analysis,Methods/Processes,NULL,
6,1643,744,Coverage Analysis,Methods/Processes,NULL,
6,1643,671,ERNI Fitness Check,Methods/Processes,NULL,
6,1643,655,ERNI Service Process Improvement,Methods/Processes,NULL,
6,1643,4513,Alignment Concept,Methods/Processes,NULL,
6,1643,4046,Business Process Model and Notation (BPMN),Methods/Processes,NULL,
6,1644,641,Exercises and practical examples,Methods/Processes,NULL,
6,1644,731,Scrum,Methods/Processes,NULL,
6,1644,909,ERNI Requirements Engineering,Methods/Processes,NULL,
6,1645,655,ERNI Service Process Improvement,Methods/Processes,NULL,
6,1645,671,ERNI Fitness Check,Methods/Processes,NULL,
6,1646,731,Scrum,Methods/Processes,NULL,
6,1646,698,Project management,Methods/Processes,NULL,
6,1646,887,Training and Coaching,Methods/Processes,NULL,
6,1646,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
6,1647,4025,Business Modeling,Technologies,Tools,
6,1647,3718,Interview and coaching Techniques,Methods/Processes,NULL,
6,1647,655,ERNI Service Process Improvement,Methods/Processes,NULL,
6,1648,661,ERNI Service Project Management,Methods/Processes,NULL,
6,1648,3718,Interview and coaching Techniques,Methods/Processes,NULL,
7,66,3681,MS Word,Technologies,Tools,
7,66,3740,Sparx Enterprise Architect,Technologies,Tools,
7,66,663,Use Cases,Methods/Processes,NULL,
7,66,665,Review techniques,Methods/Processes,NULL,
7,66,680,Workshop techniques,Methods/Processes,NULL,
7,66,681,System-Specifications,Methods/Processes,NULL,
7,66,1465,"UML (use case, class, sequence, and activity diagrams)",Methods/Processes,NULL,
7,67,683,Tool evaluation,Methods/Processes,NULL,
7,67,684,FDA,Methods/Processes,NULL,
7,67,3730,IBM Rational RequisitePro,Technologies,Tools,
7,67,3720,SoDA,Technologies,Tools,
7,68,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
7,68,685,Workshop moderation,Methods/Processes,NULL,
7,68,3252,HTML,Technologies,Programming languages,
7,69,3271,MS Project,Technologies,Tools,
7,69,657,Moderation techniques,Methods/Processes,NULL,
7,70,3252,HTML,Technologies,Programming languages,
7,70,3253,XML,Technologies,Programming languages,
7,70,3721,XSLT,Technologies,Programming languages,
7,70,3722,XMLSpy,Technologies,Tools,
7,71,3781,MS Visio,Technologies,Tools,
7,71,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
7,71,3253,XML,Technologies,Programming languages,
7,71,3271,MS Project,Technologies,Tools,
7,71,686,Extreme Programming,Methods/Processes,NULL,
7,72,686,Extreme Programming,Methods/Processes,NULL,
7,72,687,Design Patterns,Methods/Processes,NULL,
7,72,611,OO,Methods/Processes,NULL,
7,72,1954,ET++,Technologies,Packages,
7,72,1955,MET++,Technologies,Packages,
7,72,1956,Sniff mit RCS,Technologies,Other,
7,72,3253,XML,Technologies,Programming languages,
7,72,3248,C++,Technologies,Programming languages,
7,73,3252,HTML,Technologies,Programming languages,
7,73,3250,C,Technologies,Programming languages,
7,73,3278,PHP Version 4,Technologies,Programming languages,
7,73,3276,CGI,Technologies,Programming languages,
7,73,1958,Graphics Library,Technologies,Packages,
7,73,1959,DTM,Technologies,Other,
7,74,1960,AutoLISP in AutoCAD,Technologies,Programming languages,
7,74,1961,OPEN Inventor,Technologies,Other,
7,74,3248,C++,Technologies,Programming languages,
7,75,3276,CGI,Technologies,Programming languages,
7,75,3279,DHTML,Technologies,Programming languages,
7,75,3260,Java,Technologies,Programming languages,
7,75,3609,Oracle,Technologies,Databases,
7,76,3250,C,Technologies,Programming languages,
7,76,1962,Cathia,Technologies,Tools,
7,76,1963,FM,Technologies,Other,
7,77,680,Workshop techniques,Methods/Processes,NULL,
7,77,658,Interviewing techniques,Methods/Processes,NULL,
7,77,688,ERNI-Essential Requirements Engineering,Methods/Processes,NULL,
7,78,688,ERNI-Essential Requirements Engineering,Methods/Processes,NULL,
7,78,658,Interviewing techniques,Methods/Processes,NULL,
7,79,689,Requirements engineering for the ERNI-essential,Methods/Processes,NULL,
7,79,690,coaching Techniques,Methods/Processes,NULL,
7,81,691,Presentation and training techniques,Methods/Processes,NULL,
7,82,690,coaching Techniques,Methods/Processes,NULL,
7,82,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
7,83,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
7,83,690,coaching Techniques,Methods/Processes,NULL,
7,83,692,Requirements Tools,Methods/Processes,NULL,
7,83,683,Tool evaluation,Methods/Processes,NULL,
7,84,680,Workshop techniques,Methods/Processes,NULL,
7,84,663,Use Cases,Methods/Processes,NULL,
7,84,5249,Rational Unified Process (RUP),Methods/Processes,NULL,
7,84,3716,UML 2.0,Methods/Processes,NULL,
7,85,658,Interviewing techniques,Methods/Processes,NULL,
7,85,680,Workshop techniques,Methods/Processes,NULL,
7,85,684,FDA,Methods/Processes,NULL,
7,85,919,V-Model,Methods/Processes,NULL,
7,86,680,Workshop techniques,Methods/Processes,NULL,
7,86,693,RUP Requirements,Methods/Processes,NULL,
7,86,3716,UML 2.0,Methods/Processes,NULL,
7,86,3700,Eclipse,Technologies,Tools,
7,87,694,Methods of process areas: requirements engineering,Methods/Processes,NULL,
7,87,697,Testing,Methods/Processes,NULL,
7,87,698,Project management,Methods/Processes,NULL,
7,87,800,Architecture,Methods/Processes,NULL,
7,87,801,Design and Development,Methods/Processes,NULL,
7,87,798,Process Improvement,Methods/Processes,NULL,
7,88,713,Presentation Techniques,Methods/Processes,NULL,
7,88,625,CMMI,Methods/Processes,NULL,
7,89,680,Workshop techniques,Methods/Processes,NULL,
7,89,658,Interviewing techniques,Methods/Processes,NULL,
7,89,701,Requirements engineering and process improvement (ERNI-Essentials),Methods/Processes,NULL,
7,89,702,CMMI-Appraisal,Methods/Processes,NULL,
7,89,744,Coverage Analysis,Methods/Processes,NULL,
