PersonId,Skill,Level,Preferred,Development
75,LEA,0,0,0
75,PER,0,0,0
75,PI,0,0,0
75,PJM,1,0,0
75,REQ,1,0,0
75,SWE,3,1,0
75,TES,1,0,0
76,ACQ,0,1,0
76,LEA,0,0,0
76,PER,0,0,0
76,PI,0,0,0
76,PJM,2,0,0
76,REQ,2,0,0
76,SWE,3,1,0
76,TES,2,0,0
77,ACQ,0,0,0
77,LEA,0,0,0
77,PER,0,0,0
77,PI,1,0,0
77,PJM,1,0,0
77,REQ,1,0,0
77,SWE,3,1,0
77,TES,2,0,0
78,ACQ,4,1,0
78,LEA,4,0,0
78,PER,4,0,0
78,PI,3,0,0
78,PJM,3,0,0
78,REQ,2,0,0
78,SWE,2,0,0
78,TES,2,0,0
79,ACQ,0,0,0
79,LEA,1,0,0
79,PER,1,0,0
79,PI,1,0,0
79,PJM,1,1,0
79,REQ,1,1,0
79,SWE,2,1,0
79,TES,1,1,0
80,ACQ,0,0,0
80,LEA,0,0,0
80,PER,0,0,0
80,PI,0,0,0
80,PJM,0,0,0
80,REQ,0,0,0
80,SWE,1,0,0
80,TES,0,0,0
81,ACQ,0,0,0
81,LEA,2,1,0
81,PER,0,0,0
81,PI,1,0,0
81,PJM,2,1,0
81,REQ,2,0,0
81,SWE,3,1,1
81,TES,2,0,0
89,ACQ,1,0,0
89,LEA,1,0,0
89,PER,1,0,0
89,PI,1,0,0
89,PJM,3,0,0
89,REQ,1,1,0
89,SWE,2,0,0
89,TES,1,0,0
90,ACQ,1,0,0
90,LEA,1,0,0
90,PER,1,0,0
90,PI,1,0,0
90,PJM,1,0,0
90,REQ,1,0,0
90,SWE,2,1,0
90,TES,1,0,0
92,ACQ,3,0,0
92,LEA,4,0,0
92,PER,3,1,0
92,PI,3,1,0
92,PJM,4,1,0
92,REQ,2,0,0
92,SWE,3,0,0
92,TES,4,0,0
93,ACQ,1,0,0
93,LEA,2,0,0
93,PER,2,1,0
93,PI,3,0,0
93,PJM,2,0,0
93,REQ,1,0,0
93,SWE,2,0,0
93,TES,4,0,0
94,ACQ,2,0,0
94,LEA,3,0,0
94,PER,3,0,0
94,PI,4,0,0
94,PJM,3,0,0
94,REQ,4,0,0
94,SWE,2,0,0
94,TES,3,0,0
95,ACQ,0,0,0
95,LEA,1,0,0
95,PER,0,0,0
95,PI,2,0,0
95,PJM,1,0,0
95,REQ,2,0,0
95,SWE,1,0,0
95,TES,1,0,0
96,ACQ,0,0,0
96,LEA,0,0,0
96,PER,0,0,0
96,PI,1,0,0
96,PJM,1,0,0
96,REQ,2,1,1
96,SWE,1,0,0
96,TES,3,1,1
97,ACQ,0,0,0
97,LEA,0,0,0
97,PER,0,0,0
97,PI,1,0,0
97,PJM,2,1,0
97,REQ,2,0,0
97,SWE,3,0,0
97,TES,2,0,0
98,ACQ,1,0,0
98,LEA,1,0,0
98,PER,1,0,0
98,PI,0,0,0
98,PJM,1,0,0
98,REQ,2,0,0
98,SWE,1,0,0
98,TES,2,1,0
99,ACQ,0,0,0
99,LEA,0,0,0
99,PER,0,0,0
99,PI,1,0,0
99,PJM,2,0,0
99,REQ,1,0,0
99,SWE,1,0,0
99,TES,3,1,0
100,ACQ,1,0,0
100,LEA,2,1,0
100,PER,1,0,0
100,PI,2,1,0
100,PJM,3,1,0
100,REQ,3,1,0
100,SWE,1,0,0
100,TES,1,0,0
101,ACQ,0,0,0
101,LEA,0,0,0
101,PER,0,0,0
101,PI,0,0,0
101,PJM,1,1,0
101,REQ,1,1,0
101,SWE,2,1,0
101,TES,2,1,0
102,ACQ,2,0,0
102,LEA,2,0,0
102,PER,1,0,0
102,PI,1,0,0
102,PJM,3,1,1
102,REQ,2,0,0
102,SWE,3,1,0
102,TES,3,1,1
103,ACQ,2,0,0
103,LEA,3,1,1
103,PER,3,1,1
103,PI,1,1,1
103,PJM,3,0,0
103,REQ,3,0,0
103,SWE,2,0,0
103,TES,2,0,0
104,ACQ,0,0,0
104,LEA,0,0,0
104,PER,0,0,0
104,PI,3,0,0
104,PJM,3,1,0
104,REQ,2,0,0
104,SWE,4,0,0
104,TES,1,0,0
105,ACQ,0,0,0
105,LEA,2,1,0
105,PER,0,0,0
105,PI,2,0,0
105,PJM,2,1,0
105,REQ,2,0,0
105,SWE,3,0,0
105,TES,2,0,0
106,ACQ,1,0,0
106,LEA,2,0,0
106,PER,0,0,0
106,PI,2,0,0
106,PJM,3,0,0
106,REQ,2,0,0
106,SWE,3,0,0
106,TES,4,0,0
107,ACQ,1,0,0
107,LEA,1,0,0
107,PER,1,1,0
107,PI,1,0,0
107,PJM,1,1,0
107,REQ,1,1,0
107,SWE,3,1,0
107,TES,1,0,0
108,ACQ,0,0,0
108,LEA,0,0,0
108,PER,0,0,0
108,PI,0,0,0
108,PJM,0,0,0
108,REQ,0,0,0
108,SWE,3,1,1
108,TES,1,0,0
109,ACQ,0,0,0
109,LEA,0,0,0
109,PER,0,0,0
109,PI,1,0,1
109,PJM,1,0,0
109,REQ,3,0,1
109,SWE,2,0,0
109,TES,0,0,0
110,ACQ,1,0,0
110,LEA,1,0,0
110,PER,0,0,0
110,PI,1,0,0
110,PJM,1,1,0
110,REQ,1,1,0
110,SWE,0,0,0
110,TES,2,0,0
111,ACQ,0,0,0
111,LEA,0,0,0
111,PER,0,0,0
111,PI,1,0,0
111,PJM,2,0,0
111,REQ,3,0,0
111,SWE,3,0,0
111,TES,1,0,0
112,ACQ,0,0,0
112,LEA,0,1,0
112,PER,1,0,0
112,PI,0,0,0
112,PJM,1,0,0
112,REQ,2,0,0
112,SWE,3,1,0
112,TES,1,0,0
113,ACQ,0,0,0
113,LEA,0,0,0
113,PER,0,0,0
113,PI,0,0,0
113,PJM,1,1,1
113,REQ,1,0,0
113,SWE,3,1,0
113,TES,1,0,0
114,ACQ,0,0,0
114,LEA,0,0,0
114,PER,0,0,0
114,PI,0,0,0
114,PJM,1,0,0
114,REQ,1,0,0
114,SWE,2,0,0
114,TES,1,0,0
115,ACQ,0,0,0
115,LEA,0,0,0
115,PER,0,0,0
115,PI,0,0,0
115,PJM,2,0,0
115,REQ,2,1,0
115,SWE,3,1,0
115,TES,2,1,0
117,ACQ,1,1,0
117,LEA,2,1,0
117,PER,3,1,0
117,PI,3,1,0
117,PJM,4,1,1
117,REQ,3,0,0
117,SWE,0,0,0
117,TES,1,0,0
118,ACQ,0,0,0
118,LEA,2,1,1
118,PER,1,0,0
118,PI,2,1,1
118,PJM,2,0,0
118,REQ,2,0,0
118,SWE,3,1,0
118,TES,2,0,0
119,ACQ,0,0,0
119,LEA,0,0,0
119,PER,1,0,0
119,PI,0,0,0
119,PJM,1,0,0
119,REQ,3,1,1
119,SWE,2,0,0
119,TES,1,0,0
120,ACQ,1,0,0
120,LEA,3,0,0
120,PER,1,0,0
120,PI,2,0,0
120,PJM,3,0,0
120,REQ,2,0,0
120,SWE,4,1,1
120,TES,2,0,0
121,ACQ,0,0,0
121,LEA,0,0,0
121,PER,0,0,0
121,PI,2,0,0
121,PJM,1,0,0
121,REQ,3,0,0
121,SWE,1,0,0
121,TES,1,0,0
122,ACQ,2,0,0
122,LEA,3,0,0
122,PER,2,0,0
122,PI,2,0,0
122,PJM,2,0,0
122,REQ,2,0,0
122,SWE,4,1,1
122,TES,2,0,0
123,ACQ,2,1,0
123,LEA,3,0,1
123,PER,2,1,0
123,PI,2,1,1
123,PJM,4,1,1
123,REQ,2,0,0
123,SWE,1,0,0
123,TES,1,0,0
124,ACQ,1,1,0
124,LEA,2,1,0
124,PER,2,1,0
124,PI,1,1,0
124,PJM,1,1,0
124,REQ,2,1,0
124,SWE,3,1,0
124,TES,2,1,0
125,ACQ,2,1,0
125,LEA,2,1,0
125,PER,2,0,0
125,PI,3,1,1
125,PJM,4,1,1
125,REQ,3,1,1
125,SWE,1,0,0
125,TES,0,0,0
126,ACQ,0,0,0
126,LEA,0,0,0
126,PER,0,1,0
126,PI,0,0,0
126,PJM,1,0,0
126,REQ,1,0,0
126,SWE,2,1,0
126,TES,1,1,0
127,ACQ,1,0,0
127,LEA,3,1,1
127,PER,2,0,0
127,PI,2,0,0
127,PJM,1,0,0
127,REQ,2,1,0
127,SWE,4,1,1
127,TES,4,1,0
128,ACQ,1,0,0
128,LEA,1,1,0
128,PER,1,0,0
128,PI,1,0,0
128,PJM,2,1,0
128,REQ,1,1,0
128,SWE,2,1,0
128,TES,1,0,0
129,ACQ,1,0,0
129,LEA,2,0,0
129,PER,1,0,0
129,PI,1,1,1
129,PJM,3,1,1
129,REQ,3,1,1
129,SWE,2,0,0
129,TES,1,0,0
130,ACQ,1,0,0
130,LEA,1,0,0
130,PER,1,0,0
130,PI,2,0,0
130,PJM,4,1,1
130,REQ,3,0,0
130,SWE,4,1,0
130,TES,2,0,0
134,ACQ,0,0,0
134,LEA,0,0,0
134,PER,0,0,0
134,PI,0,0,0
134,PJM,1,0,0
134,REQ,1,0,0
134,SWE,2,1,0
134,TES,1,0,0
135,ACQ,0,0,0
135,LEA,0,0,0
135,PER,0,0,0
135,PI,0,0,0
135,PJM,0,0,0
135,REQ,2,0,0
135,SWE,1,0,0
135,TES,3,1,1
138,ACQ,1,0,0
138,LEA,1,0,0
138,PER,1,0,0
138,PI,1,0,0
138,PJM,1,0,0
138,REQ,2,1,1
138,SWE,3,1,1
138,TES,2,0,0
139,ACQ,2,0,0
139,LEA,0,0,0
139,PER,1,0,0
139,PI,2,1,0
139,PJM,2,0,1
139,REQ,2,0,1
139,SWE,3,1,0
139,TES,4,1,0
140,ACQ,0,0,0
140,LEA,0,0,0
140,PER,1,0,0
140,PI,0,0,0
140,PJM,1,0,0
140,REQ,1,0,0
140,SWE,3,1,0
140,TES,1,0,0
142,ACQ,0,0,0
142,LEA,0,0,0
142,PER,0,0,0
142,PI,0,0,0
142,PJM,0,0,0
142,REQ,0,0,0
142,SWE,0,0,0
142,TES,0,0,0
143,ACQ,0,0,0
143,LEA,2,1,1
143,PER,2,1,1
143,PI,1,0,0
143,PJM,2,1,1
143,REQ,2,1,1
143,SWE,1,0,0
143,TES,2,0,0
144,ACQ,2,0,0
144,LEA,2,0,1
144,PER,2,0,0
144,PI,2,0,1
144,PJM,2,0,1
144,REQ,3,0,0
144,SWE,1,0,0
144,TES,3,0,0
146,ACQ,0,0,0
146,LEA,0,0,0
146,PER,0,0,0
146,PI,0,0,0
146,PJM,0,0,0
146,REQ,0,0,0
146,SWE,0,0,0
146,TES,0,0,0
147,ACQ,0,0,0
147,LEA,2,1,1
147,PER,2,0,0
147,PI,0,0,0
147,PJM,1,0,0
147,REQ,2,0,0
147,SWE,3,1,1
147,TES,2,0,0
148,ACQ,0,0,0
148,LEA,0,0,0
148,PER,0,0,0
148,PI,0,0,0
148,PJM,1,0,0
148,REQ,1,0,0
148,SWE,2,0,0
148,TES,2,0,0
149,ACQ,1,0,0
149,LEA,1,0,0
149,PER,1,0,0
149,PI,1,0,0
149,PJM,2,1,0
149,REQ,3,1,1
149,SWE,1,0,0
149,TES,2,0,0
150,ACQ,0,0,0
150,LEA,0,0,0
150,PER,0,0,0
150,PI,2,1,1
150,PJM,2,0,0
150,REQ,3,1,0
150,SWE,3,0,0
150,TES,2,0,0
152,ACQ,1,0,0
152,LEA,2,0,0
152,PER,3,0,0
152,PI,3,1,1
152,PJM,2,0,0
152,REQ,2,0,0
152,SWE,4,0,0
152,TES,2,0,0
153,ACQ,0,0,0
153,LEA,2,1,1
153,PER,0,0,0
153,PI,0,0,0
153,PJM,2,0,0
153,REQ,2,0,0
153,SWE,2,1,1
153,TES,2,0,0
154,ACQ,0,0,0
154,LEA,1,0,0
154,PER,2,0,0
154,PI,3,1,1
154,PJM,3,1,0
154,REQ,2,0,0
154,SWE,0,0,0
154,TES,2,0,0
155,ACQ,2,0,1
155,LEA,2,0,1
155,PER,2,0,0
155,PI,2,1,0
155,PJM,3,0,0
155,REQ,4,1,1
155,SWE,1,0,0
155,TES,2,0,0
156,ACQ,2,0,0
156,LEA,3,1,0
156,PER,2,0,0
156,PI,4,1,1
156,PJM,3,1,1
156,REQ,1,0,0
156,SWE,2,0,0
156,TES,1,0,0
157,ACQ,2,0,0
157,LEA,1,0,0
157,PER,2,0,0
157,PI,2,1,0
157,PJM,3,1,0
157,REQ,3,1,0
157,SWE,1,0,0
157,TES,2,0,0
158,ACQ,3,1,1
158,LEA,3,1,1
158,PER,3,0,0
158,PI,2,0,0
158,PJM,4,1,1
158,REQ,4,1,1
158,SWE,1,0,0
158,TES,2,0,0
159,ACQ,4,0,0
159,LEA,4,0,0
159,PER,2,0,0
159,PI,2,0,0
159,PJM,3,0,0
159,REQ,1,0,0
159,SWE,1,0,0
159,TES,1,0,0
160,ACQ,0,0,0
160,LEA,2,0,0
160,PER,2,0,0
160,PI,2,0,0
160,PJM,2,0,0
160,REQ,2,0,0
160,SWE,4,0,0
160,TES,1,0,0
161,ACQ,0,0,0
161,LEA,0,0,0
161,PER,0,0,0
161,PI,0,0,0
161,PJM,2,0,0
161,REQ,2,1,0
161,SWE,3,1,1
161,TES,2,0,0
162,ACQ,0,0,0
162,LEA,0,0,0
162,PER,0,0,0
162,PI,0,0,0
162,PJM,3,1,1
162,REQ,1,1,1
162,SWE,1,0,0
162,TES,1,0,0
164,ACQ,0,0,0
164,LEA,2,0,0
164,PER,0,0,0
164,PI,1,0,0
164,PJM,1,0,0
164,REQ,2,0,0
164,SWE,3,1,1
164,TES,2,0,0
165,ACQ,2,1,0
165,LEA,2,1,0
165,PER,2,1,0
165,PI,2,1,0
165,PJM,4,1,0
165,REQ,2,0,0
165,SWE,3,0,0
165,TES,2,0,0
166,ACQ,1,0,0
166,LEA,2,0,0
166,PER,3,0,0
166,PI,2,1,0
166,PJM,3,1,1
166,REQ,2,1,0
166,SWE,1,0,0
166,TES,3,1,1
167,ACQ,3,1,0
167,LEA,3,1,0
167,PER,3,1,0
167,PI,2,0,0
167,PJM,3,1,1
167,REQ,3,1,0
167,SWE,3,0,0
167,TES,2,0,0
168,ACQ,3,0,0
168,LEA,3,0,0
168,PER,3,0,0
168,PI,2,0,0
168,PJM,3,1,0
168,REQ,4,1,0
168,SWE,3,0,0
168,TES,3,0,0
169,ACQ,1,0,0
169,LEA,1,0,0
169,PER,0,0,0
169,PI,1,0,0
